报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,143.084,139.833,-157.611,-126.941,-89.951,-57.388,-5.646,-2.732
投资活动之现金流入净额,-76.063,-103.927,-28.717,-9.021,3.094,3.449,-4.662,-1.278
融资活动之现金流入净额,-36.6,-26,5.614,0,218.406,19.065,18.64,0
现金及现金等价物增加,30.421,9.906,-180.714,-135.962,131.549,-34.874,8.332,-4.01
会计年初之现金及现金等价物,8.005,8.005,188.739,188.739,57.214,57.214,48.878,48.878
会计年终之现金及现金等价物,39.013,18.049,8.005,52.775,188.739,22.33,57.214,44.868
外汇兑换率变动之影响,0.587,0.138,-0.02,-0.002,-0.024,-0.01,0.004,--
购置固定资产款项,-1.864,-1.258,-1.598,-1.284,-0.794,-0.438,-1.918,-1.412
币种,港币,港币,港币,港币,港币,港币,港币,港币
