报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,138.112,148.728,120.207,48.081
投资活动之现金流入净额,-4.983,-35.941,-63.393,-229.757
融资活动之现金流入净额,-110.23,-68.579,-90.557,107.336
现金及现金等价物增加,22.899,44.208,-33.743,-74.34
会计年初之现金及现金等价物,64.477,20.184,53.952,128.371
会计年终之现金及现金等价物,87.403,64.477,20.184,53.952
外汇兑换率变动之影响,0.027,0.085,-0.025,-0.079
购置固定资产款项,-17.412,-48.89,-74.166,-7.755
币种,人民币,人民币,人民币,人民币
