报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,-17.039,4.6
投资活动之现金流入净额,8.534,-11.228
融资活动之现金流入净额,16.548,6.894
现金及现金等价物增加,8.043,0.266
会计年初之现金及现金等价物,1.422,1.156
会计年终之现金及现金等价物,9.465,1.422
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.662,-0.036
币种,港币,港币
