报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,155.831,200.328,240.534,182.809,439.35,-56.44
投资活动之现金流入净额,-52.326,-43.381,-212.287,-122.243,-275.08,-88.476
融资活动之现金流入净额,215.493,103.869,-6.588,14.331,-248.594,370.121
现金及现金等价物增加,318.998,260.816,21.659,74.897,-84.324,225.205
会计年初之现金及现金等价物,414.899,414.899,409.239,409.239,514.124,285.535
会计年终之现金及现金等价物,767.554,685.459,414.899,475.991,409.239,514.124
外汇兑换率变动之影响,33.657,9.744,-15.999,-8.145,-20.561,3.384
购置固定资产款项,-118.669,-85.254,-198.246,-110.102,-138.693,-109.976
币种,美元,美元,美元,美元,美元,美元
