报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-46.667,34,-9.297,152.082,71.773,6.893
投资活动之现金流入净额,-54.501,-17.981,-8.181,6.276,-73.107,-22.348
融资活动之现金流入净额,-21.764,231.338,-26.654,-49.101,-22.386,46.662
现金及现金等价物增加,-122.932,247.357,-44.132,109.257,-23.72,31.207
会计年初之现金及现金等价物,438.54,190.641,190.641,81.384,105.104,73.897
会计年终之现金及现金等价物,312.417,438.54,146.509,190.641,81.384,105.104
外汇兑换率变动之影响,-3.191,0.542,--,--,--,--
购置固定资产款项,-17.243,-20.748,-9.345,-36.12,-25.762,-4.72
币种,人民币,人民币,人民币,人民币,人民币,人民币
