报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-17.825,12.54,21.669,43.116,-1.377,17.098,-5.218
投资活动之现金流入净额,-1.471,-42.655,-2.685,-20.885,5.535,0.147,-23.443
融资活动之现金流入净额,-0.064,-0.119,-0.058,51.211,5.443,-5.332,-1.067
现金及现金等价物增加,-19.36,-30.234,18.926,73.442,9.601,11.913,-29.728
会计年初之现金及现金等价物,120.915,101.989,101.989,28.547,28.547,16.634,46.362
会计年终之现金及现金等价物,101.555,71.755,120.915,101.989,38.148,28.547,16.634
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,--,-0.825,-0.825,-0.046,--,--,-0.28
币种,港币,港币,港币,港币,港币,港币,港币
