报告期,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-79.984,62.079,500.455,45.507,-29.87,313.523
投资活动之现金流入净额,-2867.308,-2089.675,-1617.632,-666.122,-1099.716,-1018.824
融资活动之现金流入净额,4429.243,3827.93,996.604,533.891,1624.084,964.006
现金及现金等价物增加,1481.951,1800.334,-120.573,-86.724,494.498,258.705
会计年初之现金及现金等价物,886.21,886.21,1044.475,1044.475,569.142,318.433
会计年终之现金及现金等价物,2404.175,2698.873,886.21,949.88,1044.475,569.142
外汇兑换率变动之影响,36.014,12.329,-37.692,-7.871,-19.165,-7.996
购置固定资产款项,-440.826,-187.512,-323.913,-123.683,-546.39,-198.648
币种,港币,港币,港币,港币,港币,港币
