报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,2.364,22.362,-1.358,50.611,35.143,55.44,23.188
投资活动之现金流入净额,0.55,-2.593,-4.429,-10.141,-7.422,-2.851,-1.364
融资活动之现金流入净额,-15.718,21.903,-21.919,1.931,-18.234,-38.126,-12.681
现金及现金等价物增加,-12.804,41.672,-27.706,42.401,9.487,14.463,9.143
会计年初之现金及现金等价物,105.74,64.068,64.068,21.667,21.667,7.204,-1.939
会计年终之现金及现金等价物,92.936,105.74,36.362,64.068,31.154,21.667,7.204
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,--,-8.801,-4.56,-3.996,-3.81,-2.851,-1.364
币种,港币,港币,港币,港币,港币,港币,港币
