报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,67.052,94.118,37.24,-12.307,-76.545,39.756,87.289,134.012
投资活动之现金流入净额,-12.125,-42.928,-27.74,-7.013,7.644,-131.036,-85.084,-185.066
融资活动之现金流入净额,-78.013,-80.62,-14.042,20.833,52.454,179.544,207.319,-43.899
现金及现金等价物增加,-23.086,-29.43,-4.542,1.513,-16.447,88.264,209.524,-94.953
会计年初之现金及现金等价物,120.582,150.012,150.012,148.499,148.499,60.235,60.235,155.188
会计年终之现金及现金等价物,97.496,120.582,145.47,150.012,132.052,148.499,269.759,60.235
外汇兑换率变动之影响,--,--,--,--,--,--,--,--
购置固定资产款项,-13.563,-43.498,-28.052,-28.75,-8.248,-114.612,-76.307,-186.906
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
