报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-5.209,-2.418,-1.557,3.517,3.223,14.125,4.83
投资活动之现金流入净额,-3.704,-50.639,-14.206,15.04,-4.073,-5.365,-2.453
融资活动之现金流入净额,0,61.005,61.005,-7.028,-3.903,-7.45,5.648
现金及现金等价物增加,-8.913,7.948,45.242,11.529,-4.753,1.31,8.025
会计年初之现金及现金等价物,30.002,22.054,22.054,10.525,10.525,9.215,1.19
会计年终之现金及现金等价物,21.089,30.002,67.296,22.054,5.772,10.525,9.215
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-4.072,-4.193,-2.489,-0.584,-0.485,-1.235,-1.695
币种,港币,港币,港币,港币,港币,港币,港币
