报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-32.332,-11.933,3.684,2.886,8.144,3.542,11.516
投资活动之现金流入净额,-27.559,-33.549,-17.377,25.387,9.337,-2.016,-12.217
融资活动之现金流入净额,55,44.962,31.421,-10.668,1.659,1.055,1.982
现金及现金等价物增加,-4.891,-0.52,17.728,17.605,19.14,2.581,1.281
会计年初之现金及现金等价物,42.688,42.688,25.252,25.252,6.112,6.112,4.831
会计年终之现金及现金等价物,39.498,42.266,42.688,42.857,25.252,8.693,6.112
外汇兑换率变动之影响,1.701,0.098,-0.292,--,--,--,--
购置固定资产款项,-25.109,-18.558,-44.39,-0.81,-0.856,-0.028,-1.819
币种,港币,港币,港币,港币,港币,港币,港币
