报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,1702,569,1244,597,1568,1020,1398,183
投资活动之现金流入净额,2,8,104,1,261,355,514,-323
融资活动之现金流入净额,-1421,-506,-1305,-397,-1827,-997,-1900,-332
现金及现金等价物增加,283,71,43,201,2,378,12,-472
会计年初之现金及现金等价物,531,531,494,494,557,557,701,701
会计年终之现金及现金等价物,814,602,531,700,494,888,557,224
外汇兑换率变动之影响,--,--,-6,5,-65,-47,-156,-5
购置固定资产款项,-822,-313,-558,-190,-510,-211,-465,-230
币种,美元,美元,美元,美元,美元,美元,美元,美元
