报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-10.345,8.49,-12.75,-12.738,20.232,9.718
投资活动之现金流入净额,-9.218,-0.249,-1.306,1.45,-11.212,-5.368
融资活动之现金流入净额,99.901,0.422,14.547,17.351,-4.525,-2.592
现金及现金等价物增加,80.338,8.663,0.491,6.063,4.495,1.758
会计年初之现金及现金等价物,7.523,7.523,7.166,7.166,2.662,0.904
会计年终之现金及现金等价物,85.538,16.405,7.523,13.242,7.166,2.662
外汇兑换率变动之影响,-2.323,0.219,-0.134,0.013,0.009,--
购置固定资产款项,-4.891,-0.26,-3.181,-0.579,-11.215,-13.841
币种,人民币,人民币,人民币,人民币,人民币,人民币
