报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-50.825,-13.154,-3.196,8.08,7.002,8.477
投资活动之现金流入净额,-0.041,-4.915,-0.622,-5.059,-16.365,-10.143
融资活动之现金流入净额,74.808,14.056,-1.12,2.67,7.176,1.519
现金及现金等价物增加,23.942,-4.013,-4.938,5.691,-2.187,-0.147
会计年初之现金及现金等价物,3.215,7.228,7.228,1.537,3.724,3.871
会计年终之现金及现金等价物,27.157,3.215,2.29,7.228,1.537,3.724
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.207,-4.586,-0.596,-1.442,-2.111,-0.645
币种,港币,港币,港币,港币,港币,港币
