报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-3.86,-8.238,-6.927,-0.899,1.494,26.591,10.047
投资活动之现金流入净额,-22.996,-16.197,-2.014,7.934,4.741,5.391,-7.502
融资活动之现金流入净额,27.015,84.018,58.145,-9.363,-13.007,-26.65,-6.161
现金及现金等价物增加,0.159,59.583,49.204,-2.328,-6.772,5.332,-3.616
会计年初之现金及现金等价物,76.437,16.854,16.854,19.182,19.182,13.85,17.466
会计年终之现金及现金等价物,76.596,76.437,66.058,16.854,12.41,19.182,13.85
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-1.465,-2.878,-0.095,-2.472,-0.087,-2.171,-14.685
币种,港币,港币,港币,港币,港币,港币,港币
