报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,8.796,19.563
投资活动之现金流入净额,-0.057,-0.069
融资活动之现金流入净额,-6.4,-2.4
现金及现金等价物增加,2.339,17.094
会计年初之现金及现金等价物,17.47,0.376
会计年终之现金及现金等价物,19.809,17.47
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.057,-0.069
币种,港币,港币
