报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-12.497,-8.691,-3.073,-2.017,-2.584,12.308,-0.847
投资活动之现金流入净额,-2.19,-8.724,-5.625,8.897,6.467,-14.437,-12.06
融资活动之现金流入净额,0,0,0,66.443,-5.915,0.936,-0.3
现金及现金等价物增加,-14.687,-17.415,-8.698,73.323,-2.032,-1.193,-13.207
会计年初之现金及现金等价物,79.493,97.689,97.689,25.242,25.242,28.703,42.213
会计年终之现金及现金等价物,63.857,79.493,86.565,97.689,21.177,25.242,28.703
外汇兑换率变动之影响,-0.949,-0.781,-2.426,-0.876,-2.033,-2.268,-0.303
购置固定资产款项,-2.282,-8.915,-5.865,-3.486,-1.179,-5.837,-2.65
币种,港币,港币,港币,港币,港币,港币,港币
