报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,-5.653,28.489,0.729,18.28
投资活动之现金流入净额,-3.597,-2.803,-1.319,-5.559
融资活动之现金流入净额,92.396,-0.952,-4.592,0.841
现金及现金等价物增加,83.146,24.734,-5.182,13.562
会计年初之现金及现金等价物,37.442,12.708,17.89,4.328
会计年终之现金及现金等价物,120.588,37.442,12.708,17.89
外汇兑换率变动之影响,--,--,--,--
购置固定资产款项,-6.222,-3.134,-5.077,-4.391
币种,澳门元,澳门元,澳门元,澳门元
