报告期,2017-10-31,2017-04-30,2016-10-31,2016-04-30,2015-10-31,2014-10-31,2013-10-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-4.649,-3.319,4.79,4.25,3.188,0.051,5.934
投资活动之现金流入净额,-0.761,-0.304,-1.933,-1.341,-0.434,-0.594,-0.403
融资活动之现金流入净额,4.747,5.789,-2.159,-1.774,-2.243,-0.171,-5.204
现金及现金等价物增加,-0.663,2.166,0.698,1.135,0.511,-0.714,0.327
会计年初之现金及现金等价物,0.821,0.821,0.122,0.122,-0.514,0.208,-0.124
会计年终之现金及现金等价物,0.162,2.964,0.821,1.264,0.122,-0.514,0.208
外汇兑换率变动之影响,0.004,-0.023,0.001,0.007,0.125,-0.008,0.005
购置固定资产款项,-0.869,-0.331,-2.007,-1.363,-0.734,-0.684,-0.447
币种,美元,美元,美元,美元,美元,美元,美元
