报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,10366.083659,4640.074,8102.313,3677.647,6731.114,3049.579,5676.782,2634.868
除税前盈利/(亏损),1446.874189,649.604,775.671,395.841,632.022,347.139,534.738,244.752
税项,-212.295105,-93.868,-96.953,-51.982,-73.788,-46.781,-70.701,-35.531
除税后盈利/(亏损),1234.579084,555.736,678.718,343.859,558.234,300.358,464.037,209.221
少数股东权益,-33.774086,-9.367,-22.663,-10.655,-12.488,-4.378,-2.307,-1.378
股东应占盈利/(亏损),1268.35317,565.103,701.381,354.514,570.722,304.736,466.344,210.599
股息,,,173.939,,118.688,,106.151,
除税及股息后盈利/(亏损),1268.35317,565.103,527.442,354.514,452.034,304.736,360.193,210.599
基本每股盈利(仙),186.000000,83.000000,103.000000,52.000000,89.000000,48.000000,95.000000,44.000000
摊薄每股盈利(仙),186.000000,83.000000,103.000000,52.000000,89.000000,48.000000,95.000000,44.000000
每股股息(仙),--,--,25.500000,--,17.400000,--,16.600000,--
销售成本,-7576.882915,-3404.75,-6427.238,-2870.334,-5426.904,-2461.546,-4589.224,-2109.691
折旧,-173.255563,-82.261,-132.528,-66.039,-116.032,-55.847,-113.648,-57.18
销售及分销费用,-304.884581,-126.069,-199.432,-84.861,-162.994,-63.318,-124.271,-50.16
一般及行政费用,-968.067388,-501.371,-732.447,-298.582,-551.452,-231.641,-441.173,-209.667
利息费用/融资成本,-78.15639,-42.142,-130.32,-108.209,-156.371,-36.028,-99.244,-50.838
毛利,2789.200744,1235.324,1675.075,807.313,1304.21,588.033,1087.558,525.177
经营盈利,1446.701452,614.737,782.768,441.127,676.96,309.337,553.747,285.698
应占联营公司盈利,159.12115,0.327,0.82,0.703,0.268,0.282,-1.021,-0.332
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
