报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-366.604,-246.05,-87.857,59.692,-78.976,11.373,-19.404
投资活动之现金流入净额,-10.849,-0.518,0.845,0.484,57.848,-58.381,-12.894
融资活动之现金流入净额,373.771,278.876,274.715,-32.847,-26.984,56.902,34.019
现金及现金等价物增加,-3.682,32.308,187.703,27.329,-48.112,9.894,1.721
会计年初之现金及现金等价物,287.613,287.613,99.216,99.216,147.328,137.434,135.713
会计年终之现金及现金等价物,281.75,318.001,287.613,126.545,99.216,147.328,137.434
外汇兑换率变动之影响,-2.181,-1.92,0.694,--,--,--,--
购置固定资产款项,-10.188,-0.92,-0.297,-0.23,44.697,-50.889,-30.159
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
