报告期,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,384.607,189.958,186.537,98.515,252.858,130.518,790.482,451.171
除税前盈利/(亏损),17.992,-31.977,-601.953,-465.045,-1943.981,-270.717,13.842,107.408
税项,25.807,,,,-0.688,-0.455,-102.395,-69.581
除税后盈利/(亏损),43.799,-31.977,-601.953,-465.045,-1944.669,-271.172,-88.553,37.827
少数股东权益,-4.664,-3.257,-0.088,-0.051,-77.775,-14.38,-21.589,-15.116
股东应占盈利/(亏损),48.463,-28.72,-601.865,-464.994,-1866.894,-256.792,-66.964,52.943
股息,,,,,,,,
除税及股息后盈利/(亏损),48.463,-28.72,-601.865,-464.994,-1866.894,-256.792,-66.964,52.943
基本每股盈利(仙),5.330000,-3.160000,-66.230000,-51.170000,-205.430000,-28.260000,-7.370000,5.830000
摊薄每股盈利(仙),--,--,--,--,--,-28.260000,--,5.810000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-395.95,-196.564,-451.742,-297.989,-503.04,-183.812,-438.314,-210.318
折旧,-5.352,-2.536,-0.413,-0.216,-0.414,-0.263,-0.589,-0.393
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-52.604,-22.807,-46.937,-23.718,-74.655,-28.184,-89.977,-44.262
利息费用/融资成本,--,--,--,--,--,--,--,--
毛利,-11.343,-6.606,-265.205,-199.474,-250.182,-53.294,352.168,240.853
经营盈利,17.992,-31.977,-601.953,-465.045,-1943.981,-270.717,13.842,107.408
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
