报告期,2015-03-28,2014-12-31,2014-09-28,2014-06-30,2014-03-28,2013-12-31,2013-09-28,2013-06-30
报表类型,中报,年报,年报,中报,中报,年报,年报,中报
营业额,5276.358,9228.763,12540.593,3071.587,6983.781,6951.125,13286.029,3049.6
除税前盈利/(亏损),52.588,1956.836,1101.98,822.856,325.564,1939.393,803.181,754.459
税项,61.211,-999.244,-98.302,-402.993,-34.961,-854.542,53.113,-355.892
除税后盈利/(亏损),113.799,957.592,1003.678,419.863,290.603,1084.851,856.294,398.567
少数股东权益,-93.577,-74.291,-517.925,-27.739,-204.926,-58.921,-489.98,-42.041
股东应占盈利/(亏损),20.222,883.301,485.753,392.124,85.677,1025.93,366.314,356.526
股息,,267.416,,,,310.393,51.943,100.245
除税及股息后盈利/(亏损),20.222,615.885,485.753,392.124,85.677,715.537,314.371,256.281
基本每股盈利(仙),0.30,36.27,9.50,16.10,1.80,42.16,7.20,14.65
摊薄每股盈利(仙),0.30,36.26,9.50,16.09,1.80,42.06,7.20,14.63
每股股息(仙),--,10.88,--,--,--,12.72,1.10,4.10
销售成本,4200.81,6131.3,10286.62,1788.929,5826.724,4582.411,11257.63,1942.39
折旧,341.743,148.182,802.912,75.015,433.804,76.187,929.511,34.135
销售及分销费用,165.382,471.461,508.686,172.288,237.936,312.53,550.091,114.935
一般及行政费用,331.418,639.402,642.265,240.602,345.834,536.521,630.403,213.074
利息费用/融资成本,496.637,491.352,989.9,130.405,505.111,816.705,726.154,441.212
毛利,1075.548,3097.463,2253.975,1282.658,1157.057,2368.714,2028.399,1107.21
经营盈利,52.588,2292.155,1101.98,910.572,325.564,2138.594,803.181,1030.695
应占联营公司盈利,0.094,144.533,32.379,37.289,32.017,598.807,64.303,161.754
币种,港币,人民币,港币,人民币,港币,人民币,港币,人民币
