报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,55.492,89.94,58.456,306.972,361.484
投资活动之现金流入净额,-113.374,-36.975,-21.693,69.687,-489.25
融资活动之现金流入净额,33.486,-116.17,28.236,-253.429,9.042
现金及现金等价物增加,-24.396,-63.205,64.999,123.23,-118.724
会计年初之现金及现金等价物,162.443,222.211,222.211,98.51,217.545
会计年终之现金及现金等价物,135.323,162.443,288.907,222.211,98.51
外汇兑换率变动之影响,-2.724,3.437,1.697,0.471,-0.311
购置固定资产款项,-19.256,-31.801,-21.416,-150.533,-345.264
币种,人民币,人民币,人民币,人民币,人民币
