报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-3.958,-97.758,-142.834,184.622,-26.695,-0.426,45.871,22.389
投资活动之现金流入净额,-2.092,-133.649,-128.006,-31.642,1.906,-20.284,-10.638,-6.229
融资活动之现金流入净额,-5.911,79.744,214.863,35.138,86.627,15.095,-17.074,-5.24
现金及现金等价物增加,-11.961,-151.663,-55.977,188.118,61.838,-5.615,18.159,10.92
会计年初之现金及现金等价物,81.963,249.712,249.712,88.793,88.793,92.418,92.418,79.98
会计年终之现金及现金等价物,70.002,81.963,193.735,249.712,150.631,88.793,110.577,92.418
外汇兑换率变动之影响,--,-16.086,--,-27.199,--,1.99,--,1.518
购置固定资产款项,--,-10.466,--,-43.335,--,-20.817,--,-10.153
币种,港币,港币,港币,港币,港币,港币,港币,港币
