报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-64.975,173.283,17.212,159.285,63.736,97.297
投资活动之现金流入净额,-343.558,-127.264,-43.859,77.991,-230.731,-166.194
融资活动之现金流入净额,165.168,579.667,47.679,-350.019,424.323,63.85
现金及现金等价物增加,-243.365,625.686,21.032,-112.743,257.328,-5.047
会计年初之现金及现金等价物,881.028,233.658,233.658,346.401,89.073,94.12
会计年终之现金及现金等价物,622.972,881.028,254.69,233.658,346.401,89.073
外汇兑换率变动之影响,-14.691,21.684,--,--,--,--
购置固定资产款项,-118.581,-122.361,-40.771,-109.98,-99.724,-73.747
币种,人民币,人民币,人民币,人民币,人民币,人民币
