报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,68.134,8.412,-38.448,-31.581,43.073,3.053,30.552
投资活动之现金流入净额,-9.243,-4.53,-4.635,-4.846,-2.678,-6.287,-10.607
融资活动之现金流入净额,-6.478,1.37,50.398,0.527,4.955,5.749,-1.331
现金及现金等价物增加,52.413,5.252,7.315,-35.9,45.35,2.515,18.614
会计年初之现金及现金等价物,77.97,77.97,71.243,71.243,29.833,29.831,11.814
会计年终之现金及现金等价物,141.061,85.82,77.97,35.794,71.243,31.756,29.833
外汇兑换率变动之影响,10.678,2.598,-0.588,0.451,-3.94,-0.59,-0.595
购置固定资产款项,-1.591,--,-0.81,--,-6.829,--,-6.825
币种,港币,港币,港币,港币,港币,港币,港币
