报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,18.75,47.06,34.409,22.318,11.06,27.153,14.879,9.355
除税前盈利/(亏损),4.107,-63.476,-36.079,-30.971,-0.147,-117.545,-7.106,-2.536
税项,-0.915,-0.879,-2.247,-1.62,-0.439,-0.374,-1.641,-0.809
除税后盈利/(亏损),3.192,-64.355,-38.326,-32.591,-0.586,-117.919,-8.747,-3.345
少数股东权益,-0.07,-3.359,-1.588,-1.059,-0.532,-33.898,-2.271,-1.747
股东应占盈利/(亏损),3.262,-60.996,-36.738,-31.532,-0.054,-84.021,-6.476,-1.598
股息,,,,,,,,
除税及股息后盈利/(亏损),3.262,-60.996,-36.738,-31.532,-0.054,-84.021,-6.476,-1.598
基本每股盈利(仙),0.152000,-2.910000,-1.770000,-1.550000,-0.003000,-5.440000,-0.440000,-0.120000
摊薄每股盈利(仙),0.152000,-2.910000,-1.770000,-1.550000,-0.003000,-5.440000,-0.440000,-0.120000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-7.752,-15.867,-9.421,-6.099,-3.191,-12.4,-3.288,-3.265
折旧,-0.27,-5.871,-4.557,-3.122,-1.569,-7.757,-6.24,-4.369
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-6.259,-40.906,-26.773,-17.878,-12.495,-29.618,-16.462,-11.807
利息费用/融资成本,-0.717,-0.373,-0.336,-0.198,-0.071,-0.393,-0.301,-0.21
毛利,10.998,31.193,24.988,16.219,7.869,14.753,11.591,6.09
经营盈利,4.681,-63.719,-36.141,-31.028,-0.211,-117.673,-7.301,-2.678
应占联营公司盈利,0.143,0.616,0.398,0.255,0.135,0.521,0.496,0.352
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
