报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,-2.236,7.471
投资活动之现金流入净额,-0.263,-0.006
融资活动之现金流入净额,2.119,-7.549
现金及现金等价物增加,-0.38,-0.084
会计年初之现金及现金等价物,2.75,2.845
会计年终之现金及现金等价物,2.311,2.75
外汇兑换率变动之影响,-0.059,-0.011
购置固定资产款项,-0.079,-0.006
币种,港币,港币
