报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-0.214,26.273,12.29,4.606,-0.5,12.856,5.547
投资活动之现金流入净额,0.588,0.285,0.908,-7.395,-3.115,-1.178,-2.234
融资活动之现金流入净额,6.473,32.194,34.388,4.765,4.173,-9.06,1.117
现金及现金等价物增加,6.847,58.752,47.586,1.976,0.558,2.618,4.43
会计年初之现金及现金等价物,67.931,9.179,9.179,7.203,7.203,4.585,0.155
会计年终之现金及现金等价物,74.778,67.931,56.765,9.179,7.761,7.203,4.585
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-1.792,-3.508,-1.203,-0.997,-0.753,-0.824,-2.234
币种,港币,港币,港币,港币,港币,港币,港币
