报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,2.681,-3.607,48.114,0.904,-9.034,-5.577,-4.533
投资活动之现金流入净额,18.957,12.024,-28.011,-16.107,-4.184,-3.419,-2.159
融资活动之现金流入净额,-26.757,-12.611,3.565,15.295,15.603,7.943,7.151
现金及现金等价物增加,-5.119,-4.194,23.668,0.092,2.385,-1.053,0.459
会计年初之现金及现金等价物,27.831,27.831,4.137,4.137,1.737,2.782,2.307
会计年终之现金及现金等价物,22.731,23.625,27.831,4.232,4.137,1.737,2.782
外汇兑换率变动之影响,0.019,-0.012,0.026,0.003,0.015,0.008,0.016
购置固定资产款项,-0.299,--,-0.134,--,-0.162,-0.433,-0.27
币种,美元,美元,美元,美元,美元,美元,美元
