报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,138.719,128.163,59.037,15.87,75.103,38.553
投资活动之现金流入净额,49.848,-551.449,-162.553,-162.224,-502.641,-98.677
融资活动之现金流入净额,-152.613,1530.032,180.45,350.659,504.703,79.845
现金及现金等价物增加,35.954,1106.746,76.934,204.305,77.165,19.721
会计年初之现金及现金等价物,1392.009,286.874,286.874,83.377,6.412,-16.43
会计年终之现金及现金等价物,1430.402,1392.009,360.215,286.874,83.377,6.412
外汇兑换率变动之影响,2.439,-1.611,-3.593,-0.808,-0.2,3.121
购置固定资产款项,-62.352,-337.386,-131.767,-152.925,-398.683,-103.309
币种,港币,港币,港币,港币,港币,港币
