报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,23.892,35.803,31.982,31.336,64.211,27.265
投资活动之现金流入净额,-40.592,-48.389,-19.404,-17.48,-57.631,-24.848
融资活动之现金流入净额,3.677,108.973,-29.7,-2.727,17.471,-3.531
现金及现金等价物增加,-13.023,96.387,-17.122,11.129,24.051,-1.114
会计年初之现金及现金等价物,133.807,37.42,37.42,26.291,2.24,3.354
会计年终之现金及现金等价物,120.784,133.807,20.298,37.42,26.291,2.24
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-28.092,-92.781,--,-32.614,-62.791,-26.74
币种,港币,港币,港币,港币,港币,港币
