报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-29.136411,-11.740493,-54.617557,-58.819633,71.903145,-66.298237,13.220771
投资活动之现金流入净额,-173.736374,-1.38413,-0.2292,-0.02838,-1.09629,-1.135466,-0.0548
融资活动之现金流入净额,105.104625,0,119.281787,21.794751,-71.790925,-47.423064,141.968837
现金及现金等价物增加,-97.76816,-13.124623,64.43503,-37.053262,-0.98407,-114.856767,155.134808
会计年初之现金及现金等价物,114.409337,114.409337,42.557847,42.557847,43.541917,158.398684,3.263876
会计年终之现金及现金等价物,12.291149,98.947196,114.409337,5.504585,42.557847,43.541917,158.398684
外汇兑换率变动之影响,-4.350028,-2.337518,7.41646,--,--,--,--
购置固定资产款项,-1.224524,-0.16229,-0.274217,-0.02838,-1.09629,-1.135466,-0.0548
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
