报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,3.062,1.674,-0.561
投资活动之现金流入净额,-2.421,-1.824,-0.114
融资活动之现金流入净额,-2.616,3.476,0.613
现金及现金等价物增加,-1.975,3.326,-0.062
会计年初之现金及现金等价物,4.371,0.964,1.025
会计年终之现金及现金等价物,2.615,4.371,0.964
外汇兑换率变动之影响,0.219,0.081,0.001
购置固定资产款项,-0.08,-0.349,-0.078
币种,新加坡元,新加坡元,新加坡元
