报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,14.841,10.228,6.281,35.772,33.317,26.043
投资活动之现金流入净额,-49.325,7.709,18.34,86.977,18.345,-44.922
融资活动之现金流入净额,-56.272,136.343,-11.333,-118.585,-46.211,22.764
现金及现金等价物增加,-90.756,154.28,13.288,4.164,5.451,3.885
会计年初之现金及现金等价物,175.182,20.902,20.902,16.738,11.287,7.402
会计年终之现金及现金等价物,84.426,175.182,34.19,20.902,16.738,11.287
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-16.741,-10.728,-0.097,-14.136,-11.777,-7.709
币种,港币,港币,港币,港币,港币,港币
