报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,1.901,2.777,7.232,16.725
投资活动之现金流入净额,-4.373,-26.281,-14.124,-16.913
融资活动之现金流入净额,3.238,14.443,1.659,6.653
现金及现金等价物增加,0.766,-9.061,-5.233,6.465
会计年初之现金及现金等价物,7.626,16.687,21.92,15.455
会计年终之现金及现金等价物,8.392,7.626,16.687,21.92
外汇兑换率变动之影响,--,--,--,--
购置固定资产款项,-6.118,-15.777,-14.818,-16.913
币种,港币,港币,港币,港币
