报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,21923.36632652,90399.078,67598.753056,43445.69,20101.44798702,69833.164,49874.48733125,31223.462
除税前盈利/(亏损),653.0444901799999,5703.036,5398.42949349,4078.471,637.0667887000001,-5456.07,-8227.91008841,-6513.551
税项,-157.36092938,-872.351,-831.9120153,-677.111,-157.76002646,-506.439,-368.62326104000005,-282.048
除税后盈利/(亏损),495.6835608,4830.685,4566.51747819,3401.36,479.30676224,-9101.232,-8596.533349450001,-6795.599
少数股东权益,314.81062422,2168.749,1830.6409097599999,1537.893,209.16631101,804.771,623.59384626,413.578
股东应占盈利/(亏损),180.87293658000002,2661.936,2735.8765684299997,1863.467,270.14045123,-9906.003,-9220.127195710002,-7209.177
股息,,,,,,,,
除税及股息后盈利/(亏损),180.87293658000002,2661.936,2735.8765684299997,1863.467,270.14045123,-9906.003,-9220.127195710002,-7209.177
基本每股盈利(仙),2.000000,26.000000,27.000000,18.000000,3.000000,-97.000000,-90.000000,-70.560000
摊薄每股盈利(仙),2.000000,--,27.000000,--,3.000000,-97.000000,-90.000000,--
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-20193.238606299998,-82761.87,-61774.425508559994,-39695.059,-18555.85617691,-70382.845,-52157.342260260004,-31128.857
折旧,--,-2334.542,--,-1140.13,--,-2220.55,--,-1562.778
销售及分销费用,-9.72876411,-5232.051,-38.81965493,-2004.016,-12.52450531,-4021.075,-49.94352101,-1647.446
一般及行政费用,-1031.26727357,--,-3199.1095271500003,--,-966.78308181,--,-2682.66805808,--
利息费用/融资成本,-483.78560606,-2111.535,-1309.61633116,-1014.186,-371.33547296,-1912.878,-1544.67407658,-1174.288
毛利,1730.1277202200001,7637.208,5824.32754744,3750.631,1506.3403698,-549.681,-2321.87449165,94.605
经营盈利,616.44339598,5663.723,4567.43668157,4467.918,424.59151015,-5040.949,-7990.20137332,-3765.816
应占联营公司盈利,428.57546456,1060.408,1232.04943857,428.75,273.96426534,634.167,1027.00366813,282.914
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
