报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-237.523,56.649,-47.997,1006.988,-61.092
投资活动之现金流入净额,-41.782,-238.304,-76.833,-653.515,-365.396
融资活动之现金流入净额,1247.245,-459.048,-248.377,431.829,163.91
现金及现金等价物增加,967.94,-640.703,-373.207,785.302,-262.578
会计年初之现金及现金等价物,446.83,1087.533,1087.533,302.231,564.809
会计年终之现金及现金等价物,1396.343,446.83,714.326,1087.533,302.231
外汇兑换率变动之影响,-18.427,--,--,--,--
购置固定资产款项,-27.378,-99.91,-56.875,-529.161,-168.097
币种,人民币,人民币,人民币,人民币,人民币
