报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,14.981,7.391
投资活动之现金流入净额,-2.735,-5.069
融资活动之现金流入净额,-8.81,-7.019
现金及现金等价物增加,3.436,-4.697
会计年初之现金及现金等价物,2.976,7.673
会计年终之现金及现金等价物,6.412,2.976
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.47,-0.142
币种,港币,港币
