报告期,2016-12-31,2015-12-31
报表类型,年报,年报
经营业务所得之现金流入净额,20.781,28.006
投资活动之现金流入净额,-2.115,-1.742
融资活动之现金流入净额,19.931,-32.529
现金及现金等价物增加,38.597,-6.265
会计年初之现金及现金等价物,3.026,9.291
会计年终之现金及现金等价物,41.054,3.026
外汇兑换率变动之影响,-0.569,--
购置固定资产款项,-2.28,-1.789
币种,港币,港币
