报告期,2006-06-30,2006-03-31,2005-12-31,2005-12-31.1,2005-09-30,2005-06-30,2005-03-31,2004-12-31
报表类型,中报,中报,年报,年报,中报,中报,中报,年报
营业额,89.709,51.993,265.846,265.846,180.408,109.414,44.717,293.134
除税前盈利/(亏损),1.71,0.538,10.291,10.291,7.975,3.989,0.742,29.144
税项,0.974,-0.519,-1.003,-1.003,-0.274,0.832,-0.04,-5.366
除税后盈利/(亏损),2.684,0.019,9.288,9.288,7.701,4.821,0.702,23.778
少数股东权益,0.174,-0.2,-0.026,-0.026,0.462,0.651,0.227,0.835
股东应占盈利/(亏损),2.51,0.219,9.314,9.314,7.239,4.17,0.475,22.943
股息,,,9.212,9.212,,,,13.79
除税及股息后盈利/(亏损),2.51,0.219,0.102,0.102,7.239,4.17,0.475,9.153
基本每股盈利(仙),0.23,0.02,0.90,0.90,0.70,0.38,0.04,2.10
摊薄每股盈利(仙),0.23,0.02,0.90,0.90,0.70,0.38,0.04,2.10
每股股息(仙),--,--,0.83,0.83,--,--,--,1.25
销售成本,70.667,42.422,211.544,211.544,143.741,84.171,31.163,224.907
折旧,1.02,0.509,2.598,2.598,1.676,1.134,0.571,2.323
销售及分销费用,4.83,2.483,14.508,14.508,14.659,8.25,5.314,11.007
一般及行政费用,9.668,4.942,23.251,23.251,14.246,11.799,7.028,22.716
利息费用/融资成本,2.762,1.291,4.697,4.697,3.282,2.124,0.996,3.86
毛利,19.042,9.571,54.302,54.302,36.667,25.243,13.554,68.227
经营盈利,4.598,1.848,15.179,15.179,11.545,6.208,1.984,32.92
应占联营公司盈利,-0.126,-0.019,-0.191,-0.191,-0.288,-0.095,-0.246,0.084
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
