报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2014-09-30,2013-09-30
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-20.786,-11.587,43.778,12.499,28.718,29.462,29.498
投资活动之现金流入净额,-25.599,-0.572,-0.555,-0.372,76.294,-74.559,3.958
融资活动之现金流入净额,61.622,50.176,-33.974,-43.131,-76.207,25.538,-7.489
现金及现金等价物增加,15.237,38.017,9.249,-31.004,28.805,-19.559,25.967
会计年初之现金及现金等价物,74.456,74.456,67.264,67.264,40.395,60.12,32.939
会计年终之现金及现金等价物,90.231,110.898,74.456,35.063,67.264,40.395,60.12
外汇兑换率变动之影响,0.538,-1.575,-2.057,-1.197,-1.936,-0.166,1.214
购置固定资产款项,-25.67,-0.581,-0.63,-0.426,-2.336,-0.565,-1.958
币种,港币,港币,港币,港币,港币,港币,港币
