报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,4.747,15.908
投资活动之现金流入净额,-11.646,-3.901
融资活动之现金流入净额,-0.247,0.24
现金及现金等价物增加,-7.146,12.247
会计年初之现金及现金等价物,16.922,4.675
会计年终之现金及现金等价物,9.776,16.922
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.043,-0.113
币种,港币,港币
