报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
经营业务所得之现金流入净额,-658,6268,3290,610,437,4349,3339,1439
投资活动之现金流入净额,-420,-1345,-636,-665,-802,-550,-220,138
融资活动之现金流入净额,906,-4454,-2707,185,593,-5413,-3684,-2752
现金及现金等价物增加,-172,469,-53,130,228,-1614,-565,-1175
会计年初之现金及现金等价物,2437,1968,1968,1968,1968,3601,3601,3601
会计年终之现金及现金等价物,2265,2437,1915,2098,2196,1968,3017,2407
外汇兑换率变动之影响,--,--,--,--,--,-19,-19,-19
购置固定资产款项,-437,-1868,-1228,-1023,-821,-1393,-804,-413
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
