报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,2.577,11.674,22.626
投资活动之现金流入净额,-0.085,-0.062,-0.114
融资活动之现金流入净额,0,-27.364,0
现金及现金等价物增加,2.492,-15.752,22.512
会计年初之现金及现金等价物,10.472,26.224,3.712
会计年终之现金及现金等价物,12.964,10.472,26.224
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-0.087,-0.068,-0.051
币种,港币,港币,港币
