报告期,2015-06-30,2015-03-28,2014-12-31,2014-09-28,2014-06-30,2014-06-30.1,2013-09-28,2013-06-30
报表类型,中报,中报,年报,年报,中报,中报,年报,中报
经营业务所得之现金流入净额,-726.15,2010.884,657.613,-1594.491,571.984,571.984,3663.808,-166.635
投资活动之现金流入净额,-714.382,688.843,-1350.425,1347.495,-302.483,-302.483,-6920.607,46.63
融资活动之现金流入净额,2358.478,-1745.205,897.997,573.893,1627.542,1627.542,3495.848,1420.705
现金及现金等价物增加,917.946,954.522,205.185,326.897,1897.043,1897.043,239.049,1300.7
会计年初之现金及现金等价物,5018.511,1245.314,4812.575,921.335,4812.575,4812.575,690.969,3949.775
会计年终之现金及现金等价物,5926.516,2211.128,5018.511,1245.314,6729.506,6729.506,921.335,5224.663
外汇兑换率变动之影响,-9.941,11.292,0.751,-2.918,19.888,19.888,-8.683,-25.812
购置固定资产款项,-132.65,-69.707,-609.41,-536.465,-455.699,-455.699,-222.848,-453.57
币种,人民币,港币,人民币,港币,人民币,人民币,港币,人民币
