报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-30447.46,-11199.679,20411.157,11390.951,-11417.914,-4636.12,-4028.7
投资活动之现金流入净额,-3969.497,-2354.56,-17294.256,-9020.952,-4124.052,2815.766,-5673.873
融资活动之现金流入净额,28351.835,10997.305,-1745.269,-4616.243,20029.761,7942.512,9838.633
现金及现金等价物增加,-6065.122,-2556.934,1371.632,-2246.244,4487.795,6122.158,136.06
会计年初之现金及现金等价物,17427.96,17427.96,15967.225,15967.225,11447.921,5321.859,5188.761
会计年终之现金及现金等价物,11183.962,14774.125,17427.96,13740.824,15967.225,11447.921,5321.859
外汇兑换率变动之影响,-178.876,-96.901,89.103,19.843,31.509,3.904,-2.962
购置固定资产款项,-258.232,-62.109,-262.092,-96.758,-282.006,-193.766,-148.317
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
