报告期,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2016-03-31
报表类型,三季报,中报,年报,三季报,中报,年报
营业额,303.101,197.362,285.43,216.029,139.652,267.408
除税前盈利/(亏损),12.479,1.301,16.021,11.885,10.726,14.732
税项,-4.259,-2.457,-3.465,-2.715,-1.75,-2.411
除税后盈利/(亏损),8.22,-1.156,12.556,9.17,8.976,12.321
少数股东权益,,,,,,
股东应占盈利/(亏损),8.22,-1.156,12.556,9.17,8.976,12.321
股息,,,,,,
除税及股息后盈利/(亏损),8.22,-1.156,12.556,9.17,8.976,12.321
基本每股盈利(仙),0.020000,-0.260000,3.000000,2.040000,1.990000,3.000000
摊薄每股盈利(仙),0.020000,-0.260000,3.000000,2.040000,1.990000,3.000000
每股股息(仙),--,--,--,--,--,--
销售成本,-271.447,-176.57,-255.612,-193.472,-125.071,-247.393
折旧,-0.571,-0.389,-0.684,-0.486,-0.318,-0.697
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-24.336,-19.554,-13.691,-10.636,-3.848,-5.238
利息费用/融资成本,-0.215,-0.204,-0.177,-0.052,-0.023,-0.062
毛利,31.654,20.792,29.818,22.557,14.581,20.015
经营盈利,12.479,1.301,16.021,11.885,10.726,14.732
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
