报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,29.411,20.944,12.419,15.747,13.89,17.481,12.17
投资活动之现金流入净额,-2.924,-7.476,-0.791,2.982,0.255,-7.174,-1.969
融资活动之现金流入净额,0,28.441,25.553,-18,-18,-0.8,-4.834
现金及现金等价物增加,26.487,41.909,37.181,0.729,-3.855,9.507,5.367
会计年初之现金及现金等价物,65.95,24.041,24.041,23.312,23.312,13.805,8.438
会计年终之现金及现金等价物,92.437,65.95,61.222,24.041,19.457,23.312,13.805
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-2.924,-7.478,-0.792,-1.026,-0.437,-1.858,-0.93
币种,港币,港币,港币,港币,港币,港币,港币
