报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,365.387,152.89,289.681,139.793,261.112,236.844,227.13
除税前盈利/(亏损),84.819,32.058,41.673,20.711,56.786,49.682,46.413
税项,-27.431,-10.513,-18.619,-8.728,-16.692,-15.425,-13.671
除税后盈利/(亏损),57.388,21.545,23.054,11.983,40.094,34.257,32.742
少数股东权益,1.063,1.063,2.807,1.365,5.247,4.669,4.857
股东应占盈利/(亏损),56.325,20.482,20.247,10.618,34.847,29.588,27.885
股息,10.501037,,,,,9.391,
除税及股息后盈利/(亏损),45.823963,20.482,20.247,10.618,34.847,20.197,27.885
基本每股盈利(仙),5.600000,2.000000,2.600000,1.400000,,,
摊薄每股盈利(仙),5.600000,2.000000,2.600000,1.400000,--,--,--
每股股息(仙),1.300000,--,--,--,--,--,--
销售成本,-213.787,-84.874,-169.633,-84.841,-160.654,-151.034,-151.609
折旧,-5.282,-2.621,-4.762,-1.938,-2.369,-2.083,-1.909
销售及分销费用,-24.698,-13.367,-21.54,-9.935,-18.263,-16.731,-17.769
一般及行政费用,-44.909,-21.436,-58.528,-25.071,-26.275,-23.199,-17.031
利息费用/融资成本,--,--,-0.014,--,--,-0.111,--
毛利,151.6,68.016,120.048,54.952,100.458,85.81,75.521
经营盈利,84.216,31.777,41.3,20.547,56.344,46.424,42.07
应占联营公司盈利,--,--,0.007,-0.01,-0.002,-0.004,0.088
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
