报告期,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,中报,年报,年报,年报
现金及短期资金,103767.44,84073.904,83022.942,82150.998,78636.081
银行同业及其他金融机构之存款,14443.63,17434.947,18380.847,49481.651,32226.367
贸易票据,--,--,--,--,--
香港特区政府负债证明书,,,,,
客户贷款及其他账项,285701.697,267601.192,237934.771,216779.764,180720.304
持至到期证券 债务证券 股票,59902.988,30237.136,25782.157,18433.575,8551.146
联营公司权益,,,,,
合资公司权益及其他权益,--,--,--,--,--
无形资产,,,,,
固定资产及投资物业,2012.502,1890.468,2025.349,2097.533,2227.601
其他资产,181721.697,133845.284,166273.199,87928.582,116019.483
总资产,735713.66,680049.026,660951.115,582807.2,466607.619
香港特区政府纸币流通额,,,,,
银行及其他金融机构存款及结余,43470.165,25710.494,33580.932,104063.369,42016.969
客户存款,488671.856,440875.332,423742.038,391061.88,354438.557
已发行之债务证券,101383.777,126732.88,92295.376,21676.869,12522.466
其他负债,53146.457,42149.469,72275.017,29231.531,24714.93
总负债,687235.941,635699.59,623111.412,547111.07,434020.851
借入资本,--,--,--,--,--
股本,9808.269,9592.419,8153.419,8153.419,8153.419
储备,36236.246,32786.82,27691.821,25624.527,22507.187
股东权益/(亏损),46044.515,42379.239,35845.24,33777.946,30660.606
少数股东权益 - (借)/贷,2433.204,1970.197,1994.463,1918.184,1926.162
资本来源合计,48477.719,44349.436,37839.703,35696.13,32586.768
负债及资本来源合计,735713.66,680049.026,660951.115,582807.2,466607.619
股份数目 (千),1820335000,1582900000,--,--,--
持有的存款证,--,--,--,--,--
持作买卖用途的证券,,,,,
已发行的存款证,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
