报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30
报表类型,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,5.164,-2.946,38.851,0.211,12.386,-1.011
投资活动之现金流入净额,-14.308,-11.954,-29.949,-12.532,-17.912,-6.093
融资活动之现金流入净额,3.831,11.468,-10.676,4.411,16.476,33.476
现金及现金等价物增加,-5.313,-3.432,-1.774,-7.91,10.95,26.372
会计年初之现金及现金等价物,21.797,21.797,24.918,24.918,17.168,17.168
会计年终之现金及现金等价物,16.933,20.221,21.797,15.672,24.918,42.418
外汇兑换率变动之影响,0.449,1.856,-1.347,-1.336,-3.2,-1.122
购置固定资产款项,-20.916,-6.97,-30.706,-10.51,-19.649,-6.09
币种,港币,港币,港币,港币,港币,港币
