报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30
报表类型,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,52.656,183.554,120.78,151.981,92.084,-119.089,-65.287
投资活动之现金流入净额,-50.264,-31.662,-28.056,-22.022,-22.348,-116.737,-127.655
融资活动之现金流入净额,1.282,-127.185,-82.171,-145.544,-65.109,258.631,224.01
现金及现金等价物增加,3.674,24.707,10.553,-15.585,4.627,22.805,31.068
会计年初之现金及现金等价物,36.706,11.999,11.999,27.584,27.584,4.789,4.789
会计年终之现金及现金等价物,40.38,36.706,22.552,11.999,32.211,27.584,35.883
外汇兑换率变动之影响,--,--,--,--,--,-0.01,0.026
购置固定资产款项,-65.575,-66.334,-47.929,-55.013,-39.48,-196.583,-190.802
币种,港币,港币,港币,港币,港币,港币,港币
