报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,2117.547,5265.248,2553.007,4687.811,331.77,1608.854,-1061.015,320.943
投资活动之现金流入净额,-659.186,-604.352,-453.063,-1686.164,-1308.314,-876.674,2.114,-1009.334
融资活动之现金流入净额,11.817,-949.172,-178.787,-792.831,-74.258,-156.051,24.441,-1397.967
现金及现金等价物增加,1470.178,3711.724,1921.157,2208.816,-1050.802,576.129,-1034.46,-2086.358
会计年初之现金及现金等价物,13324.079,9535.851,9535.851,7313.515,7313.515,6760.237,6760.237,8879.491
会计年终之现金及现金等价物,14773.187,13324.079,11486.339,9535.851,6251.197,7313.515,5735.418,6760.237
外汇兑换率变动之影响,-21.07,76.504,29.331,13.52,-11.516,-22.851,9.641,-32.896
购置固定资产款项,-257.514,-846.649,-260.748,-811.769,-262.78,-794.595,-290.723,-809.032
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
