报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2015-09-30,2014-09-30
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,5.532,-6.898,12.769,10.414,-42.309,-2.733
投资活动之现金流入净额,0.592,3.698,-0.049,-0.087,23.608,-0.132
融资活动之现金流入净额,-10.264,68.767,-7.3,-13.326,24,0
现金及现金等价物增加,-4.14,65.567,5.42,-2.999,5.299,-2.865
会计年初之现金及现金等价物,73.881,8.314,8.314,11.313,6.014,8.879
会计年终之现金及现金等价物,69.816,73.881,13.734,8.314,11.313,6.014
外汇兑换率变动之影响,0.075,--,--,--,--,--
购置固定资产款项,-0.434,-0.24,-0.049,-0.091,-0.24,-0.132
币种,港币,港币,港币,港币,港币,港币
