报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,65.264,136.627,50.885,35.495,34.657,49.259,22.583
投资活动之现金流入净额,-1117.965,-2355.307,-807.417,-3114.16,-1917.284,-1624.796,-226.566
融资活动之现金流入净额,-80.6,3341.851,523.538,3213.895,3180.44,2149.485,291.46
现金及现金等价物增加,-1133.301,1123.171,-232.994,135.23,1297.813,573.948,87.477
会计年初之现金及现金等价物,1957.704,820.773,820.773,678.428,678.428,104.665,17.188
会计年终之现金及现金等价物,814.561,1957.704,590.35,820.773,1976.123,678.428,104.665
外汇兑换率变动之影响,-9.842,13.76,2.571,7.115,-0.118,-0.185,--
购置固定资产款项,-933.96,-2302.332,-821.461,-2588.889,-1581.404,-1067.897,-382.152
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
