报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,2.506535,12.847395,9.353716,6.007733,3.14595,9.549724,6.986291,5.032619
除税前盈利/(亏损),0.308634,0.158495,-0.74684,-1.45769,0.089857,1.342256,0.89591,0.796175
税项,-0.163841,-0.358605,-0.217605,-0.092605,-0.039605,-0.268216,-0.254859,-0.223859
除税后盈利/(亏损),0.144793,-0.20011,-0.964445,-1.550295,0.050252,1.07404,0.641051,0.572316
少数股东权益,,,,,,,,
股东应占盈利/(亏损),0.144793,-0.20011,-0.964445,-1.550295,0.050252,1.07404,0.641051,0.572316
股息,,,,,,,,
除税及股息后盈利/(亏损),0.144793,-0.20011,-0.964445,-1.550295,0.050252,1.07404,0.641051,0.572316
基本每股盈利(仙),0.005000,-0.006000,-0.030000,-0.048000,0.002000,0.034000,0.020000,0.143000
摊薄每股盈利(仙),0.005000,-0.006000,-0.030000,-0.048000,0.002000,0.034000,0.020000,0.143000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-1.304178,-7.282418,-5.742441,-3.965186,-2.177201,-5.294555,-3.765915,-2.456938
折旧,-0.022321,-0.287407,-0.066227,-0.143606,-0.023318,-0.240587,-0.068112,-0.098154
销售及分销费用,-0.75716,-3.608239,-2.663247,-1.698073,-0.778379,-3.212731,-2.310571,-1.543674
一般及行政费用,--,--,--,--,--,--,--,--
利息费用/融资成本,-0.004121,-0.013981,-0.01065,-0.007366,-0.004887,-0.01355,-0.008981,-0.005151
毛利,1.202357,5.564977,3.611275,2.042547,0.968749,4.255169,3.220376,2.575681
经营盈利,0.308634,0.158495,-0.74684,-1.45769,0.089857,1.342256,0.89591,0.796175
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
