报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-84.774,54.297,123.515,97.059,130.553,-69.507
投资活动之现金流入净额,-122.261,-128.623,-8.851,-85.214,3.18,-55.778
融资活动之现金流入净额,-79.174,638.355,2.552,29.55,-127.703,62.251
现金及现金等价物增加,-286.209,564.029,117.216,41.395,6.03,-63.034
会计年初之现金及现金等价物,649.436,85.541,85.541,44.146,38.062,101.21
会计年终之现金及现金等价物,351.456,649.436,202.757,85.541,44.146,38.062
外汇兑换率变动之影响,-11.771,-0.134,--,--,0.054,-0.114
购置固定资产款项,-83.147,-13.743,-3.996,-16.065,-14.319,-28.106
币种,人民币,人民币,人民币,人民币,人民币,人民币
