报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-1.573,-8.451,29.168,10.985,24.689,35.788
投资活动之现金流入净额,-129.316,-41.848,-101.452,-61.783,-159.456,-64.482
融资活动之现金流入净额,159.605,34.835,93.189,69.613,117.513,53.725
现金及现金等价物增加,28.716,-15.464,20.905,18.815,-17.254,25.031
会计年初之现金及现金等价物,60.377,60.377,41.474,41.474,59.942,37.454
会计年终之现金及现金等价物,91.154,48.049,60.377,57.128,41.474,59.942
外汇兑换率变动之影响,2.061,3.136,-2.002,-3.161,-1.214,-2.543
购置固定资产款项,-96.718,-31.55,-88.589,-35.42,-65.964,-23.225
币种,港币,港币,港币,港币,港币,港币
