报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
经营业务所得之现金流入净额,15.888,56.936,19.428,69.521,54.071,53.544
投资活动之现金流入净额,-7.216,-68.546,-2.267,-84.57,-190.86,-268.111
融资活动之现金流入净额,-4.371,4.449,-13.634,-37.909,213.117,230.303
现金及现金等价物增加,4.301,-7.161,3.527,-52.958,76.328,15.736
会计年初之现金及现金等价物,73.191,80.219,80.219,134.388,59.116,43.558
会计年终之现金及现金等价物,77.514,73.191,83.681,80.219,134.388,59.116
外汇兑换率变动之影响,0.022,0.133,-0.065,-1.211,-1.056,-0.178
购置固定资产款项,-9.683,-25.821,-2.477,-99.41,-195.988,-279.474
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
