报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-0.5,-4.41,-5.16,-2.285,1.661,0.217
投资活动之现金流入净额,-6.438,-0.381,-1.327,-0.085,-0.018,-0.66
融资活动之现金流入净额,1.33,0.042,7.3,-0.085,1.953,0.512
现金及现金等价物增加,-5.608,-4.749,0.813,-2.455,3.596,0.069
会计年初之现金及现金等价物,6.789,6.789,5.831,5.831,2.235,2.166
会计年终之现金及现金等价物,1.133,2.04,6.789,3.376,5.831,2.235
外汇兑换率变动之影响,-0.048,--,0.145,--,--,--
购置固定资产款项,-6.383,-0.607,-1.316,-0.085,-0.136,-0.143
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
