报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,83.082,53.971,25.452,27.804,40.942,23.944,36.356,18.655
投资活动之现金流入净额,90.587,-29.91,-25.572,-7.306,-28.585,-0.035,151.213,-3.148
融资活动之现金流入净额,-11.686,-11.686,-11.686,-11.686,691.385,-17.791,-196.291,-7.791
现金及现金等价物增加,161.983,12.375,-11.806,8.812,703.742,6.118,-8.722,7.716
会计年初之现金及现金等价物,703.922,703.922,715.728,715.728,11.986,11.986,20.708,20.708
会计年终之现金及现金等价物,865.905,716.297,703.922,724.54,715.728,18.104,11.986,28.424
外汇兑换率变动之影响,--,--,--,--,--,--,--,--
购置固定资产款项,-26.125,-9.992,-2.095,--,-0.466,-0.466,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
