报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-39.643,-19.234,-19.216,-4.514,4.41
投资活动之现金流入净额,-2.277,1.208,0.863,5.681,-7.446
融资活动之现金流入净额,69.08,8.866,13.1,6.072,3.645
现金及现金等价物增加,27.16,-9.16,-5.253,7.239,0.609
会计年初之现金及现金等价物,-1.899,7.261,7.261,0.022,-0.587
会计年终之现金及现金等价物,25.261,-1.899,2.008,7.261,0.022
外汇兑换率变动之影响,--,--,--,--,--
购置固定资产款项,-0.024,-0.153,-0.14,-0.492,-2.145
币种,港币,港币,港币,港币,港币
